Time,Indicator,Employment Status,Indicator Status,Location,Amount,Unemployment Rate,format,,
2017,Employment Status By Poverty Status,Unemployed,Below Poverty,"Baltimore city, Maryland",12440,,"12,440",,
2016,Employment Status By Poverty Status,Labor Force,Above Poverty,"Baltimore city, Maryland",271922,,"271,922",,
2016,Employment Status By Poverty Status,Labor Force,Below Poverty,"Baltimore city, Maryland",36552,,"36,552",,
2016,Employment Status By Poverty Status,Employed,Above Poverty,"Baltimore city, Maryland",251526,,"251,526",,
2016,Employment Status By Poverty Status,Employed,Below Poverty,"Baltimore city, Maryland",21673,,"21,673",,
2016,Employment Status By Poverty Status,Unemployed,Above Poverty,"Baltimore city, Maryland",20396,,"20,396",,
2016,Employment Status By Poverty Status,Unemployed,Below Poverty,"Baltimore city, Maryland",14879,,"14,879",,
2015,Employment Status By Poverty Status,Labor Force,Above Poverty,"Baltimore city, Maryland",270293,,"270,293",,
2015,Employment Status By Poverty Status,Labor Force,Below Poverty,"Baltimore city, Maryland",39355,,"39,355",,
2015,Employment Status By Poverty Status,Employed,Above Poverty,"Baltimore city, Maryland",246854,,"246,854",,
2015,Employment Status By Poverty Status,Employed,Below Poverty,"Baltimore city, Maryland",22263,,"22,263",,
2015,Employment Status By Poverty Status,Unemployed,Above Poverty,"Baltimore city, Maryland",23439,,"23,439",,
2015,Employment Status By Poverty Status,Unemployed,Below Poverty,"Baltimore city, Maryland",17092,,"17,092",,
2017,Median Household Income,,,"Baltimore city, Maryland",46641,,"$46,641 ",,
2016,Median Household Income,,,"Baltimore city, Maryland",44262,,"$44,262 ",,
2015,Median Household Income,,,"Baltimore city, Maryland",42241,,"$42,241 ",,
2017,Total Population,,,"Baltimore city, Maryland",619796,,"619,796",,
2016,Total Population,,,"Baltimore city, Maryland",621000,,"621,000",,
2015,Total Population,,,"Baltimore city, Maryland",622454,,"622,454",,
2017,Unemployment By Gender,,Male,"Baltimore city, Maryland",10.8,0.108,10.80%,,
2017,Unemployment By Gender,,Female,"Baltimore city, Maryland",8.5,0.085,8.50%,,
2016,Unemployment By Gender,,Male,"Baltimore city, Maryland",12.1,0.121,12.10%,,
2016,Unemployment By Gender,,Female,"Baltimore city, Maryland",10.1,0.101,10.10%,,
2015,Unemployment By Gender,,Male,"Baltimore city, Maryland",13.4,0.134,13.40%,,
2015,Unemployment By Gender,,Female,"Baltimore city, Maryland",11.8,0.118,11.80%,,
2017,Unemployment By Race,,White,"Baltimore city, Maryland",4.4,0.044,4.40%,,
2017,Unemployment By Race,,Black,"Baltimore city, Maryland",13.9,0.139,13.90%,,
2017,Unemployment By Race,,Asian,"Baltimore city, Maryland",3.4,0.034,3.40%,,
2017,Unemployment By Race,,Hispanic,"Baltimore city, Maryland",6.3,0.063,6.30%,,
2016,Unemployment By Race,,White,"Baltimore city, Maryland",5.1,0.051,5.10%,,
2016,Unemployment By Race,,Black,"Baltimore city, Maryland",15.9,0.159,15.90%,,
2016,Unemployment By Race,,Asian,"Baltimore city, Maryland",3.8,0.038,3.80%,,
2016,Unemployment By Race,,Hispanic,"Baltimore city, Maryland",7.3,0.073,7.30%,,
2015,Unemployment By Race,,White,"Baltimore city, Maryland",6.1,0.061,6.10%,,
2015,Unemployment By Race,,Black,"Baltimore city, Maryland",17.8,0.178,17.80%,,
2015,Unemployment By Race,,Asian,"Baltimore city, Maryland",5,0.05,5.00%,,
2015,Unemployment By Race,,Hispanic,"Baltimore city, Maryland",8.8,0.088,8.80%,,
2017,Unemployment By Veteran Status,,Veteran,"Baltimore city, Maryland",9.4,0.094,9.40%,,
2017,Unemployment By Veteran Status,,Non Veteran,"Baltimore city, Maryland",10,0.1,10.00%,,
2016,Unemployment By Veteran Status,,Veteran,"Baltimore city, Maryland",11.1,0.111,11.10%,,
2016,Unemployment By Veteran Status,,Non Veteran,"Baltimore city, Maryland",11.5,0.115,11.50%,,
2015,Unemployment By Veteran Status,,Veteran,"Baltimore city, Maryland",11.3,0.113,11.30%,,
2015,Unemployment By Veteran Status,,Non Veteran,"Baltimore city, Maryland",13.1,0.131,13.10%,,
2015Q1,Number of TANF Recipient Workers,Employed,,"Baltimore City, Maryland",2051,,"2,051",,"2,051"
2015Q2,Number of TANF Recipient Workers,Employed,,"Baltimore City, Maryland",2256,,"2,256",,"2,256"
2015Q3,Number of TANF Recipient Workers,Employed,,"Baltimore City, Maryland",2461,,"2,461",,"2,461"
2015Q4,Number of TANF Recipient Workers,Employed,,"Baltimore City, Maryland",2729,,"2,729",,"2,729"
2016Q1,Number of TANF Recipient Workers,Employed,,"Baltimore City, Maryland",1929,,"1,929",,"1,929"
2016Q2,Number of TANF Recipient Workers,Employed,,"Baltimore City, Maryland",2181,,"2,181",,"2,181"
2016Q3,Number of TANF Recipient Workers,Employed,,"Baltimore City, Maryland",2419,,"2,419",,"2,419"
2016Q4,Number of TANF Recipient Workers,Employed,,"Baltimore City, Maryland",2519,,"2,519",,"2,519"
2015Q1,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Baltimore City, Maryland",0.043785,0.044,4.38%,,0.044
2015Q2,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Baltimore City, Maryland",0.053842,0.054,5.38%,,0.054
2015Q3,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Baltimore City, Maryland",0.053127,0.053,5.31%,0.053127,5.30%
2015Q4,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Baltimore City, Maryland",0.056285,0.056,5.63%,0.056285,5.60%
2016Q1,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Baltimore City, Maryland",0.062979,0.063,6.30%,0.062979,6.30%
2016Q2,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Baltimore City, Maryland",0.074221,0.074,7.42%,0.074221,7.40%
2016Q3,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Baltimore City, Maryland",0.059644,0.06,5.96%,0.059644,6.00%
2016Q4,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Baltimore City, Maryland",0.055874,0.056,5.59%,0.055874,5.60%
2017Q1,Number of TANF Recipient Workers,Employed,,"Baltimore City, Maryland",1813,,1813,,"1,813"
2017Q2,Number of TANF Recipient Workers,Employed,,"Baltimore City, Maryland",1911,,1911,,"1,911"
2017Q1,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Baltimore City, Maryland",0.041215,,4.12%,0.041215,4.10%
2017Q2,Percentage of Workforce Training Program/Service Participants in TANF,Employed,,"Baltimore City, Maryland",0.045159,,4.52%,0.045159,4.50%
2016Q3,Percentage of TANF Recipients among Maryland Workers,Employed,,"Baltimore City, Maryland",0.007143,,0.71%,0.007143,0.71%
2016Q4,Percentage of TANF Recipients among Maryland Workers,Employed,,"Baltimore City, Maryland",0.007355,,0.74%,0.007355,0.74%
2017Q1,Percentage of TANF Recipients among Maryland Workers,Employed,,"Baltimore City, Maryland",0.005411,,0.54%,0.005411,0.54%
2017Q2,Percentage of TANF Recipients among Maryland Workers,Employed,,"Baltimore City, Maryland",0.005596,,0.56%,0.005596,0.56%
2016,Snap Recipient Workers,,,"Baltimore City, Maryland",71568,,"71,568",,
2017,Snap Recipient Workers,,,"Baltimore City, Maryland",71692,,"71,692",,
2018,Snap Recipient Workers,,,"Baltimore City, Maryland",74183,,"74,183",,
2016,Snap Recipient Workers by Percentage,,,"Baltimore City, Maryland",0.2637,26.37,26.37%,,
2017,Snap Recipient Workers by Percentage,,,"Baltimore City, Maryland",0.2644,26.44,26.44%,,
2018,Snap Recipient Workers by Percentage,,,"Baltimore City, Maryland",0.2691,26.91,26.91%,,
2015,Work Experience by Gender,Not Working,Male,"Baltimore City, Maryland","298,021",,"298,021",,
2015,Work Experience by Gender,Part Time,Male,"Baltimore City, Maryland","38,593",,"38,593",,
2015,Work Experience by Gender,Full Time,Male,"Baltimore City, Maryland","250,377",,"250,377",,
2015,Work Experience by Gender,Not Working,Female,"Baltimore City, Maryland","339,344",,"339,344",,
2015,Work Experience by Gender,Part Time,Female,"Baltimore City, Maryland","52,308",,"52,308",,
2015,Work Experience by Gender,Full Time,Female,"Baltimore City, Maryland","266,075",,"266,075",,
2015,Work Experience by Race,Not Working,White,"Baltimore City, Maryland","155,284",,"155,284",,
2015,Work Experience by Race,Not Working,Black,"Baltimore City, Maryland","440,951",,"440,951",,
2015,Work Experience by Race,Not Working,American,"Baltimore City, Maryland","1,572",,"1,572",,
2015,Work Experience by Race,Not Working,Chinese,"Baltimore City, Maryland","4,202",,"4,202",,
2015,Work Experience by Race,Not Working,Japanese,"Baltimore City, Maryland",106,,106,,
2015,Work Experience by Race,Not Working,Other Asian,"Baltimore City, Maryland","8,694",,"8,694",,
2015,Work Experience by Race,Not Working,Other Race,"Baltimore City, Maryland","8,011",,"8,011",,
2015,Work Experience by Race,Not Working,Two Major Races,"Baltimore City, Maryland","14,798",,"14,798",,
2015,Work Experience by Race,Not Working,Three or More,"Baltimore City, Maryland","3,747",,"3,747",,
2015,Work Experience by Race,Part Time,White,"Baltimore City, Maryland","30,553",,"30,553",,
2015,Work Experience by Race,Part Time,Black,"Baltimore City, Maryland","52,885",,"52,885",,
2015,Work Experience by Race,Part Time,American,"Baltimore City, Maryland",321,,321,,
2015,Work Experience by Race,Part Time,Chinese,"Baltimore City, Maryland",941,,941,,
2015,Work Experience by Race,Part Time,Japanese,"Baltimore City, Maryland",93,,93,,
2015,Work Experience by Race,Part Time,Other Asian,"Baltimore City, Maryland","2,477",,"2,477",,
2015,Work Experience by Race,Part Time,Other Race,"Baltimore City, Maryland","1,343",,"1,343",,
2015,Work Experience by Race,Part Time,Two Major Races,"Baltimore City, Maryland","1,738",,"1,738",,
2015,Work Experience by Race,Part Time,Three or More,"Baltimore City, Maryland",550,,550,,
2015,Work Experience by Race,Full Time,White,"Baltimore City, Maryland","197,644",,"197,644",,
2015,Work Experience by Race,Full Time,Black,"Baltimore City, Maryland","279,900",,"279,900",,
2015,Work Experience by Race,Full Time,American,"Baltimore City, Maryland","1,029",,"1,029",,
2015,Work Experience by Race,Full Time,Chinese,"Baltimore City, Maryland","3,998",,"3,998",,
2015,Work Experience by Race,Full Time,Japanese,"Baltimore City, Maryland",277,,277,,
2015,Work Experience by Race,Full Time,Other Asian,"Baltimore City, Maryland","12,907",,"12,907",,
2015,Work Experience by Race,Full Time,Other Race,"Baltimore City, Maryland","9,901",,"9,901",,
2015,Work Experience by Race,Full Time,Two Major Races,"Baltimore City, Maryland","8,322",,"8,322",,
2015,Work Experience by Race,Full Time,Three or More,"Baltimore City, Maryland","2,474",,"2,474",,
2015,Work Experience by Education,Not Working,N/A,"Baltimore City, Maryland","47,403",,"47,403",,
2015,Work Experience by Education,Not Working,No School,"Baltimore City, Maryland","39,079",,"39,079",,
2015,Work Experience by Education,Not Working,Nursery,"Baltimore City, Maryland","21,619",,"21,619",,
2015,Work Experience by Education,Not Working,Kindergarten,"Baltimore City, Maryland","19,097",,"19,097",,
2015,Work Experience by Education,Not Working,Grade 1,"Baltimore City, Maryland","13,043",,"13,043",,
2015,Work Experience by Education,Not Working,Grade 2,"Baltimore City, Maryland","14,400",,"14,400",,
2015,Work Experience by Education,Not Working,Grade 3,"Baltimore City, Maryland","17,338",,"17,338",,
2015,Work Experience by Education,Not Working,Grade 4,"Baltimore City, Maryland","14,440",,"14,440",,
2015,Work Experience by Education,Not Working,Grade 5,"Baltimore City, Maryland","12,927",,"12,927",,
2015,Work Experience by Education,Not Working,Grade 6,"Baltimore City, Maryland","16,645",,"16,645",,
2015,Work Experience by Education,Not Working,Grade 7,"Baltimore City, Maryland","15,036",,"15,036",,
2015,Work Experience by Education,Not Working,Grade 8,"Baltimore City, Maryland","27,092",,"27,092",,
2015,Work Experience by Education,Not Working,Grade 9,"Baltimore City, Maryland","26,447",,"26,447",,
2015,Work Experience by Education,Not Working,Grade 10,"Baltimore City, Maryland","31,850",,"31,850",,
2015,Work Experience by Education,Not Working,Grade 11,"Baltimore City, Maryland","31,504",,"31,504",,
2015,Work Experience by Education,Not Working,Grade 12,"Baltimore City, Maryland","10,500",,"10,500",,
