Data Source,Time,Location,Indicator,IndicatorValue,Employment Status,Amount,Unemployment Rate,,Percentage,Format for charts,,
LAUS,"Apr
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,299470,0.047,,,"299,470",,
LAUS,"May
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,302055,0.05,,,"302,055",,
LAUS,"Jun
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,303659,0.053,,,"303,659",,
LAUS,"Jul
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,305707,0.055,,,"305,707",,
LAUS,"Aug
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,303505,0.054,,,"303,505",,
LAUS,"Sep
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,300752,0.049,,,"300,752",,
LAUS,"Oct
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,303062,0.048,,,"303,062",,
LAUS,"Nov
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,302924,0.047,,,"302,924",,
LAUS,"Dec
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,302103,0.044,,,"302,103",,
LAUS,"Jan
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,300619,0.05,,,"300,619",,
LAUS,"Feb
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,300674,0.048,,,"300,674",,
LAUS,"Mar
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,302017,0.046,,,"302,017",,
LAUS,"Apr
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,300972,0.042,,,"300,972",,
LAUS,"May
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,302701,0.045,,,"302,701",,
LAUS,"Jun
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,305428,0.047,,,"305,428",,
LAUS,"Jul
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,307860,0.046,,,"307,860",,
LAUS,"Aug
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,305918,0.044,,,"305,918",,
LAUS,"Sep
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,304626,0.042,,,"304,626",,
LAUS,"Oct
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,305644,0.042,,,"305,644",,
LAUS,"Nov
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,305514,0.04,,,"305,514",,
LAUS,"Dec
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,304235,0.037,,,"304,235",,
LAUS,"Jan
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,304051,0.04,,,"304,051",,
LAUS,"Feb
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,304353,0.039,,,"304,353",,
LAUS,"Mar
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,306799,0.037,,,"306,799",,
LAUS,"Apr
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,306399,0.034,,,"306,399",,
LAUS,"May
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,306504,0.034,,,"306,504",,
LAUS,"Jun
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,311353,0.039,,,"311,353",,
LAUS,"Jul
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,314670,0.039,,,"314,670",,
LAUS,"Aug
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,312314,0.038,,,"312,314",,
LAUS,"Sep
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,309792,0.036,,,"309,792",,
LAUS,"Oct
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,310132,0.036,,,"310,132",,
LAUS,"Nov
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,309462,0.034,,,"309,462",,
LAUS,"Dec
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Labor Force,Labor Force,305863,0.033,,,"305,863",,
LAUS,"Jan
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,283213,0.054,,,"283,213",,
LAUS,"Feb
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,283405,0.054,,,"283,405",,
LAUS,"Mar
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,285241,0.053,,,"285,241",,
LAUS,"Apr
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,287002,0.047,,,"287,002",,
LAUS,"May
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,288488,0.05,,,"288,488",,
LAUS,"Jun
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,289447,0.053,,,"289,447",,
LAUS,"Jul
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,291611,0.055,,,"291,611",,
LAUS,"Aug
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,290006,0.054,,,"290,006",,
LAUS,"Sep
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,288075,0.049,,,"288,075",,
LAUS,"Oct
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,290336,0.048,,,"290,336",,
LAUS,"Nov
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,290792,0.047,,,"290,792",,
LAUS,"Dec
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,291038,0.044,,,"291,038",,
LAUS,"Jan
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,288519,0.05,,,"288,519",,
LAUS,"Feb
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,288807,0.048,,,"288,807",,
LAUS,"Mar
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,290706,0.046,,,"290,706",,
LAUS,"Apr
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,290839,0.042,,,"290,839",,
LAUS,"May
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,292332,0.045,,,"292,332",,
LAUS,"Jun
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,293542,0.047,,,"293,542",,
LAUS,"Jul
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,295872,0.046,,,"295,872",,
LAUS,"Aug
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,294160,0.044,,,"294,160",,
LAUS,"Sep
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,293515,0.042,,,"293,515",,
LAUS,"Oct
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,294539,0.042,,,"294,539",,
LAUS,"Nov
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,295020,0.04,,,"295,020",,
LAUS,"Dec
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,294336,0.037,,,"294,336",,
LAUS,"Jan
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,292758,0.04,,,"292,758",,
LAUS,"Feb
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,292835,0.039,,,"292,835",,
LAUS,"Mar
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,295718,0.037,,,"295,718",,
LAUS,"Apr
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,295893,0.034,,,"295,893",,
LAUS,"May
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,295975,0.034,,,"295,975",,
LAUS,"Jun
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,299576,0.039,,,"299,576",,
LAUS,"Jul
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,303047,0.039,,,"303,047",,
LAUS,"Aug
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,301291,0.038,,,"301,291",,
LAUS,"Sep
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,300461,0.036,,,"300,461",,
LAUS,"Oct
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,299972,0.036,,,"299,972",,
LAUS,"Nov
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,298773,0.034,,,"298,773",,
LAUS,"Dec
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Employed,Employed,296260,0.033,,,"296,260",,
LAUS,"Jan
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,14943,0.054,,,"14,943",,
LAUS,"Feb
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,14191,0.054,,,"14,191",,
LAUS,"Mar
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,13813,0.053,,,"13,813",,
LAUS,"Apr
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,12468,0.047,,,"12,468",,
LAUS,"May
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,13567,0.05,,,"13,567",,
LAUS,"Jun
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,14212,0.053,,,"14,212",,
LAUS,"Jul
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,14096,0.055,,,"14,096",,
LAUS,"Aug
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,13499,0.054,,,"13,499",,
LAUS,"Sep
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,12677,0.049,,,"12,677",,
LAUS,"Oct
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,12726,0.048,,,"12,726",,
LAUS,"Nov
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,12132,0.047,,,"12,132",,
LAUS,"Dec
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11065,0.044,,,"11,065",,
LAUS,"Jan
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,12100,0.05,,,"12,100",,
LAUS,"Feb
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11867,0.048,,,"11,867",,
LAUS,"Mar
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11311,0.046,,,"11,311",,
LAUS,"Apr
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,10133,0.042,,,"10,133",,
LAUS,"May
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,10369,0.045,,,"10,369",,
LAUS,"Jun
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11886,0.047,,,"11,886",,
LAUS,"Jul
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11988,0.046,,,"11,988",,
LAUS,"Aug
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11758,0.044,,,"11,758",,
LAUS,"Sep
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11111,0.042,,,"11,111",,
LAUS,"Oct
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11105,0.042,,,"11,105",,
LAUS,"Nov
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,10494,0.04,,,"10,494",,
LAUS,"Dec
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,9899,0.037,,,"9,899",,
LAUS,"Jan
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11293,0.04,,,"11,293",,
LAUS,"Feb
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11518,0.039,,,"11,518",,
LAUS,"Mar
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11081,0.037,,,"11,081",,
LAUS,"Apr
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,10506,0.034,,,"10,506",,
LAUS,"May
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,10529,0.034,,,"10,529",,
LAUS,"Jun
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11777,0.039,,,"11,777",,
LAUS,"Jul
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11623,0.039,,,"11,623",,
LAUS,"Aug
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,11023,0.038,,,"11,023",,
LAUS,"Sep
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,9331,0.036,,,"9,331",,
LAUS,"Oct
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,10160,0.036,,,"10,160",,
LAUS,"Nov
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,10689,0.034,,,"10,689",,
LAUS,"Dec
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployed,Unemployed,9603,0.033,,,"9,603",,
LAUS,"Jan
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,5,0.05,100,,5,5.4,0
LAUS,"Feb
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,4.8,0.048,100,,4.8,5.4,0
LAUS,"Mar
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,4.6,0.046,100,,4.6,5.3,0
LAUS,"Apr
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,4.2,0.042,100,,4.2,4.7,0
LAUS,"May
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,4.5,0.045,100,,4.5,5,0
LAUS,"Jun
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,4.7,0.047,100,,4.7,5.3,0
LAUS,"Jul
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,4.6,0.046,100,,4.6,5.5,0
LAUS,"Aug
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,4.4,0.044,100,,4.4,5.4,0
LAUS,"Sep
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,4.2,0.042,100,,4.2,4.9,0
LAUS,"Oct
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,4.2,0.042,100,,4.2,4.8,0
LAUS,"Nov
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,4,0.04,100,,4,4.7,0
LAUS,"Dec
2015","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.7,0.037,100,,3.7,4.4,0
LAUS,"Jan
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,4,0.04,100,,4,5,0
LAUS,"Feb
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.9,0.039,100,,3.9,4.8,0
LAUS,"Mar
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.7,0.037,100,,3.7,4.6,0
LAUS,"Apr
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.4,0.034,100,,3.4,4.2,0
LAUS,"May
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.4,0.034,100,,3.4,4.5,0
LAUS,"Jun
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.9,0.039,100,,3.9,4.7,0
LAUS,"Jul
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.9,0.039,100,,3.9,4.6,0
LAUS,"Aug
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.8,0.038,100,,3.8,4.4,0
LAUS,"Sep
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.6,0.036,100,,3.6,4.2,0
LAUS,"Oct
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.6,0.036,100,,3.6,4.2,0
LAUS,"Nov
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.4,0.034,100,,3.4,4,0
LAUS,"Dec
2016","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.3,0.033,100,,3.3,3.7,0
LAUS,"Jan
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.7,0.037,100,,3.7,,
LAUS,"Feb
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.8,0.038,100,,3.8,,
LAUS,"Mar
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.6,0.036,100,,3.6,,
LAUS,"Apr
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.4,0.034,100,,3.4,,
LAUS,"May
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.4,0.034,100,,3.4,,
LAUS,"Jun
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.8,0.038,100,,3.8,,
LAUS,"Jul
2017","Anne Arundel County, MD",Not Seasonally Adjusted Monthly,Unemployment Rate,Unemployment Rate,3.7,0.037,100,,3.7,,
